theater,title,date,time,link,poster
Brattle,The Babadook,09-10,9:15 PM,https://brattlefilm.org/movies/the-babadook/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133525/lszpCmmPCKHvzn2OBx7bAgXlfhC.jpg
Brattle,Good Time,09-11,12:00 PM,https://brattlefilm.org/movies/good-time/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133652/s6DJXJU3HzX24Ij3VWg5MfVGHrI-scaled.jpg
Brattle,Good Time,09-11,9:15 PM,https://brattlefilm.org/movies/good-time/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133652/s6DJXJU3HzX24Ij3VWg5MfVGHrI-scaled.jpg
Brattle,The Story of Film: A New Generation,09-11,2:30 PM,https://brattlefilm.org/movies/the-story-of-film-a-new-generation/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29131731/story-of-film-poster-0.jpg
Brattle,The Story of Film: A New Generation,09-12,6:00 PM,https://brattlefilm.org/movies/the-story-of-film-a-new-generation/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29131731/story-of-film-poster-0.jpg
Brattle,Cemetery of Splendor,09-12,8:00 PM,https://brattlefilm.org/movies/cemetery-of-splendor/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133757/pK5y82ISbaBWa87R5neub8qojDk.jpg
Brattle,Leviathan,09-13,8:00 PM,https://brattlefilm.org/movies/leviathan/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133845/yU626BbyIZ4VraJJuFwXHEhcEK3.jpg
Brattle,Moonlight,09-14,8:00 PM,https://brattlefilm.org/movies/moonlight/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24133931/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg
Brattle,It Follows,09-15,9:15 PM,https://brattlefilm.org/movies/it-follows/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/24134127/iwnQ1JH1wdWrGYkgWySptJ5284A.jpg
Brattle,High Hopes,09-16,4:30 PM,https://brattlefilm.org/movies/high-hopes/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29155233/rUHrtrCQlURF1BilZcOcsmu5m87.jpg
Brattle,Life Is Sweet,09-16,7:00 PM,https://brattlefilm.org/movies/life-is-sweet/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/07144442/life-is-sweet-poster-0.jpg
Brattle,Saloum,09-16,9:30 PM,https://brattlefilm.org/movies/saloum/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29165936/yEWO77ClYNqNGMg98v2XNzV8Vx1-scaled.jpg
Brattle,Meantime,09-17,4:30 PM,https://brattlefilm.org/movies/meantime/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/07144415/meantime-poster-1.jpeg
